Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Consultant, Data Science and Analytics",USD 81K - USD 133K,3.8,TransUnion,"New York, NY",10000+ Employees,1968,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD)
Sustainability Data Analyst,USD 80K - USD 85K,,Worldly,Remote,51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Annotation - Safety tasks / Content Moderation,USD 44K - USD 74K ,4.5,Cohere,"Nashville, TN",1 to 50 Employees,--,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
Solaria Labs Data Science Co-op (July - December 2024),USD 33K - USD 83K,3.7,Liberty Mutual,Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist (Multiple Openings),USD 120K - USD 139K,4.2,Johnson & Johnson,"Raritan, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
CAMPUS: I&A Data Science Summer Associate (2024),USD 40.00 Per Hour,4.2,Capital Group Companies,"Los Angeles, CA",5001 to 10000 Employees,1931,Company - Private,Investment & Asset Management,Financial Services,$1 to $5 billion (USD)
Data Science Fellowship - 2024,USD 68K - USD 100K ,4.1,Institute for Defense Analyses,"Alexandria, VA",1001 to 5000 Employees,1956,Nonprofit Organization,National Agencies,Government & Public Administration,Unknown / Non-Applicable
Data Science Engineer,USD 108K - USD 192K,4.4,Adobe,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Science Analyst - QHS,USD 92K - USD 139K,3.9,Mayo Clinic,"Jacksonville, FL",10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Junior Data Scientist,USD 70K - USD 111K ,3.4,Coke Florida,"Tampa, FL",1001 to 5000 Employees,2015,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD)
College Graduate - Data Science (BS/MS),USD 110K - USD 165K,4.1,INTEL,"Phoenix, AZ",10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Science Specialist,USD 84K - USD 88K,4.2,Arizona State University,"Tempe, AZ",10000+ Employees,1885,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
Data Science Co-op,USD 85K - USD 119K ,4.1,bioMerieux SA,"Hazelwood, MO",10000+ Employees,1963,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
Entry Level Data Science - December 2023 and May 2024 Grads,USD 101K - USD 161K ,4.1,NXP Semiconductors,"Austin, TX",10000+ Employees,2006,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD)
"Analyst, Data Science",USD 68K - USD 110K,3.7,Dentsu Global Services,"Lincolnshire, IL",10000+ Employees,--,Company - Public,Advertising & Public Relations,Media & Communication,$5 to $10 billion (USD)
Data Science Graduate,USD 57K - USD 131K,4.1,Hewlett Packard Enterprise,"Spring, TX",10000+ Employees,2015,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Customer Data Analyst (Hybrid schedule),USD 84K - USD 126K,4.5,SoCalGas,"Los Angeles, CA",5001 to 10000 Employees,1929,Subsidiary or Business Segment,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD)
"Scientist 4, Data Science",USD 136K - USD 188K ,3.6,Western Digital,"San Jose, CA",10000+ Employees,1970,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Scientist,USD 115K - USD 130K,,Kafene,"New York, NY",51 to 200 Employees,2019,Company - Private,Consumer Product Rental,Personal Consumer Services,Unknown / Non-Applicable
Junior Data Scientist,,,Amira Learning,Remote,5.0,,,,,
Lead AI / ML / Data Science Engineer,USD 250K,,,Remote,,,,,,
