Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly Salary,min_salary,max_salary,Average Salary,Job state,Company_age
"Consultant, Data Science and Analytics",USD 81K - USD 133K,3.8,TransUnion,"New York, NY",10000+ Employees,1968,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD),0,81,133,107.0,NY,56.0
Data Annotation - Safety tasks / Content Moderation,USD 44K - USD 74K ,4.5,Cohere,"Nashville, TN",1 to 50 Employees,--,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,0,44,74,59.0,TN,
Solaria Labs Data Science Co-op (July - December 2024),USD 33K - USD 83K,3.7,Liberty Mutual,Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,33,83,58.0,Remote,112.0
Data Scientist (Multiple Openings),USD 120K - USD 139K,4.2,Johnson & Johnson,"Raritan, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,120,139,129.5,NJ,137.0
CAMPUS: I&A Data Science Summer Associate (2024),USD 40.00 Per Hour,4.2,Capital Group Companies,"Los Angeles, CA",5001 to 10000 Employees,1931,Company - Private,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),1,67,67,67.0,CA,93.0
Data Science Fellowship - 2024,USD 68K - USD 100K ,4.1,Institute for Defense Analyses,"Alexandria, VA",1001 to 5000 Employees,1956,Nonprofit Organization,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,68,100,84.0,VA,68.0
Data Science Engineer,USD 108K - USD 192K,4.4,Adobe,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,108,192,150.0,CA,42.0
Data Science Analyst - QHS,USD 92K - USD 139K,3.9,Mayo Clinic,"Jacksonville, FL",10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,92,139,115.5,FL,
Junior Data Scientist,USD 70K - USD 111K ,3.4,Coke Florida,"Tampa, FL",1001 to 5000 Employees,2015,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD),0,70,111,90.5,FL,9.0
College Graduate - Data Science (BS/MS),USD 110K - USD 165K,4.1,INTEL,"Phoenix, AZ",10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,110,165,137.5,AZ,56.0
